GEOID1,GEOID2,Subset,County,State,Continent,variable,estimate,moe,year,Tag
41051,41005,,Clackamas County, Oregon,,MOVEDOUT,10786,1343,2018,IS
41051,41005,,Clackamas County, Oregon,,MOVEDOUT,10050,1071,2015,IS
41051,41005,,Clackamas County, Oregon,,MOVEDOUT,8985,1221,2010,IS
41051,41067,,Washington County, Oregon,,MOVEDIN,8547,1198,2015,IS
41051,41067,,Washington County, Oregon,,MOVEDOUT,8420,1020,2018,IS
41051,41067,,Washington County, Oregon,,MOVEDOUT,8078,1022,2015,IS
41051,41005,,Clackamas County, Oregon,,MOVEDIN,7700,889,2015,IS
41051,41067,,Washington County, Oregon,,MOVEDIN,7616,777,2018,IS
41051,41067,,Washington County, Oregon,,MOVEDOUT,7329,985,2010,IS
41051,41005,,Clackamas County, Oregon,,MOVEDIN,7293,1030,2018,IS
41051,41005,,Clackamas County, Oregon,,MOVEDIN,6957,826,2010,IS
41051,41067,,Washington County, Oregon,,MOVEDIN,5721,637,2010,IS
41051,53011,,Clark County, Washington,,MOVEDOUT,5604,897,2018,OOS
41051,53011,,Clark County, Washington,,MOVEDOUT,5118,1154,2015,OOS
41051,53011,,Clark County, Washington,,MOVEDOUT,3859,634,2010,OOS
41051,,,,,Asia,MOVEDIN,3313,731,2015,OOC
41051,,,,,Asia,MOVEDIN,3258,617,2018,OOC
41051,53011,,Clark County, Washington,,MOVEDIN,2666,450,2018,OOS
41051,53011,,Clark County, Washington,,MOVEDIN,2543,467,2015,OOS
41051,53011,,Clark County, Washington,,MOVEDIN,2456,518,2010,OOS
41051,,,,,Asia,MOVEDIN,2343,703,2010,OOC
41051,53033,,King County, Washington,,MOVEDOUT,2260,529,2018,OOS
41051,41039,,Lane County, Oregon,,MOVEDIN,2221,539,2010,IS
41051,41047,,Marion County, Oregon,,MOVEDIN,2127,562,2018,IS
41051,06037,,Los Angeles County, California,,MOVEDIN,2091,527,2010,OOS
41051,,,,,Europe,MOVEDIN,2004,647,2018,OOC
41051,53033,,King County, Washington,,MOVEDIN,1943,379,2015,OOS
41051,41039,,Lane County, Oregon,,MOVEDIN,1734,353,2015,IS
41051,06037,,Los Angeles County, California,,MOVEDIN,1689,352,2018,OOS
41051,41047,,Marion County, Oregon,,MOVEDIN,1618,537,2010,IS
41051,41039,,Lane County, Oregon,,MOVEDOUT,1599,372,2015,IS
41051,53033,,King County, Washington,,MOVEDOUT,1598,352,2015,OOS
41051,06037,,Los Angeles County, California,,MOVEDIN,1522,256,2015,OOS
41051,53033,,King County, Washington,,MOVEDIN,1521,363,2010,OOS
41051,41047,,Marion County, Oregon,,MOVEDIN,1504,313,2015,IS
41051,41039,,Lane County, Oregon,,MOVEDOUT,1495,363,2018,IS
41051,53033,,King County, Washington,,MOVEDIN,1471,312,2018,OOS
41051,,,,,Europe,MOVEDIN,1448,305,2010,OOC
41051,41047,,Marion County, Oregon,,MOVEDOUT,1413,369,2010,IS
41051,41039,,Lane County, Oregon,,MOVEDIN,1392,310,2018,IS
41051,41047,,Marion County, Oregon,,MOVEDOUT,1374,446,2015,IS
41051,53033,,King County, Washington,,MOVEDOUT,1322,436,2010,OOS
41051,41039,,Lane County, Oregon,,MOVEDOUT,1277,294,2010,IS
41051,06037,,Los Angeles County, California,,MOVEDNET,1276,569,2010,OOS
41051,06075,,San Francisco County, California,,MOVEDIN,1199,316,2018,OOS
41051,04013,,Maricopa County, Arizona,,MOVEDIN,1196,487,2015,OOS
41051,,,,,Europe,MOVEDIN,1157,237,2015,OOC
41051,41047,,Marion County, Oregon,,MOVEDOUT,1119,323,2018,IS
41051,41047,,Marion County, Oregon,,MOVEDNET,1008,653,2018,IS
41051,06001,,Alameda County, California,,MOVEDIN,989,252,2018,OOS
41051,06037,,Los Angeles County, California,,MOVEDOUT,960,234,2015,OOS
41051,41039,,Lane County, Oregon,,MOVEDNET,944,602,2010,IS
41051,06037,,Los Angeles County, California,,MOVEDOUT,909,283,2018,OOS
41051,,,,,Africa,MOVEDIN,857,584,2018,OOC
41051,41003,,Benton County, Oregon,,MOVEDOUT,846,194,2018,IS
41051,41003,,Benton County, Oregon,,MOVEDOUT,832,301,2010,IS
41051,06073,,San Diego County, California,,MOVEDIN,826,348,2018,OOS
41051,06037,,Los Angeles County, California,,MOVEDOUT,815,226,2010,OOS
41051,06073,,San Diego County, California,,MOVEDOUT,801,233,2018,OOS
41051,41003,,Benton County, Oregon,,MOVEDIN,792,292,2010,IS
41051,06075,,San Francisco County, California,,MOVEDIN,789,241,2015,OOS
41051,04013,,Maricopa County, Arizona,,MOVEDIN,781,267,2018,OOS
41051,06037,,Los Angeles County, California,,MOVEDNET,780,430,2018,OOS
41051,06075,,San Francisco County, California,,MOVEDNET,770,387,2018,OOS
41051,41003,,Benton County, Oregon,,MOVEDIN,726,195,2015,IS
41051,06001,,Alameda County, California,,MOVEDIN,715,313,2010,OOS
41051,41029,,Jackson County, Oregon,,MOVEDOUT,698,275,2010,IS
41051,,,,,Central America,MOVEDIN,698,333,2015,OOC
41051,04021,,Pinal County, Arizona,,MOVEDOUT,692,553,2018,OOS
41051,06001,,Alameda County, California,,MOVEDNET,682,292,2018,OOS
41051,04013,,Maricopa County, Arizona,,MOVEDOUT,680,203,2018,OOS
41051,06085,,Santa Clara County, California,,MOVEDIN,678,282,2018,OOS
41051,41003,,Benton County, Oregon,,MOVEDIN,675,283,2018,IS
41051,06073,,San Diego County, California,,MOVEDIN,672,248,2010,OOS
41051,41009,,Columbia County, Oregon,,MOVEDOUT,665,354,2010,IS
41051,41009,,Columbia County, Oregon,,MOVEDOUT,650,283,2018,IS
41051,41003,,Benton County, Oregon,,MOVEDOUT,648,198,2015,IS
41051,41029,,Jackson County, Oregon,,MOVEDIN,640,199,2015,IS
41051,06001,,Alameda County, California,,MOVEDNET,632,309,2010,OOS
41051,04013,,Maricopa County, Arizona,,MOVEDNET,632,595,2015,OOS
41051,41043,,Linn County, Oregon,,MOVEDIN,612,305,2015,IS
41051,06075,,San Francisco County, California,,MOVEDIN,598,198,2010,OOS
41051,,,,,Central America,MOVEDIN,594,239,2010,OOC
41051,17031,,Cook County, Illinois,,MOVEDIN,593,211,2010,OOS
41051,41029,,Jackson County, Oregon,,MOVEDIN,577,216,2010,IS
41051,06067,,Sacramento County, California,,MOVEDOUT,576,251,2010,OOS
41051,41071,,Yamhill County, Oregon,,MOVEDIN,569,307,2010,IS
41051,53053,,Pierce County, Washington,,MOVEDOUT,569,271,2010,OOS
41051,41017,,Deschutes County, Oregon,,MOVEDOUT,568,256,2018,IS
41051,04013,,Maricopa County, Arizona,,MOVEDOUT,564,274,2015,OOS
41051,06037,,Los Angeles County, California,,MOVEDNET,562,319,2015,OOS
41051,41053,,Polk County, Oregon,,MOVEDOUT,554,293,2010,IS
41051,41041,,Lincoln County, Oregon,,MOVEDOUT,547,221,2018,IS
41051,41029,,Jackson County, Oregon,,MOVEDIN,542,173,2018,IS
41051,04013,,Maricopa County, Arizona,,MOVEDOUT,540,259,2010,OOS
41051,41053,,Polk County, Oregon,,MOVEDOUT,535,197,2018,IS
41051,06073,,San Diego County, California,,MOVEDOUT,531,211,2015,OOS
41051,41017,,Deschutes County, Oregon,,MOVEDIN,522,179,2010,IS
41051,17031,,Cook County, Illinois,,MOVEDIN,519,201,2018,OOS
41051,53053,,Pierce County, Washington,,MOVEDOUT,503,222,2015,OOS
41051,17031,,Cook County, Illinois,,MOVEDIN,497,173,2015,OOS
41051,06073,,San Diego County, California,,MOVEDIN,478,306,2015,OOS
41051,41053,,Polk County, Oregon,,MOVEDOUT,474,175,2015,IS
41051,41067,,Washington County, Oregon,,MOVEDNET,469,1509,2015,IS
41051,32003,,Clark County, Nevada,,MOVEDOUT,469,194,2018,OOS
41051,41017,,Deschutes County, Oregon,,MOVEDIN,469,205,2018,IS
41051,06067,,Sacramento County, California,,MOVEDOUT,467,265,2018,OOS
41051,41009,,Columbia County, Oregon,,MOVEDOUT,466,222,2015,IS
41051,,,,,Oceania and At Sea,MOVEDIN,463,249,2010,OOC
41051,41071,,Yamhill County, Oregon,,MOVEDIN,463,205,2015,IS
41051,06085,,Santa Clara County, California,,MOVEDIN,442,183,2015,OOS
41051,06075,,San Francisco County, California,,MOVEDOUT,438,162,2015,OOS
41051,41071,,Yamhill County, Oregon,,MOVEDOUT,436,156,2018,IS
41051,,,,,Africa,MOVEDIN,429,344,2015,OOC
41051,06075,,San Francisco County, California,,MOVEDOUT,429,161,2018,OOS
41051,,,,,Northern America,MOVEDIN,425,159,2018,OOC
41051,17031,,Cook County, Illinois,,MOVEDNET,424,236,2010,OOS
41051,,,,,Central America,MOVEDIN,424,312,2018,OOC
41051,49035,,Salt Lake County, Utah,,MOVEDIN,423,228,2018,OOS
41051,41027,,Hood River County, Oregon,,MOVEDIN,419,232,2010,IS
41051,41071,,Yamhill County, Oregon,,MOVEDIN,419,156,2018,IS
41051,53061,,Snohomish County, Washington,,MOVEDIN,410,182,2018,OOS
41051,06067,,Sacramento County, California,,MOVEDIN,406,264,2010,OOS
41051,06085,,Santa Clara County, California,,MOVEDNET,395,334,2018,OOS
41051,06067,,Sacramento County, California,,MOVEDOUT,394,311,2015,OOS
41051,41071,,Yamhill County, Oregon,,MOVEDOUT,393,174,2015,IS
41051,41017,,Deschutes County, Oregon,,MOVEDOUT,392,197,2015,IS
41051,53061,,Snohomish County, Washington,,MOVEDIN,391,216,2015,OOS
41051,41009,,Columbia County, Oregon,,MOVEDIN,391,211,2018,IS
41051,41057,,Tillamook County, Oregon,,MOVEDOUT,388,307,2010,IS
41051,3604710022,Brooklyn borough, Kings County, New York,,MOVEDIN,385,190,2018,OOS
41051,36047,,Kings County, New York,,MOVEDIN,385,190,2018,OOS
41051,,,,,South America,MOVEDIN,385,173,2018,OOC
41051,53015,,Cowlitz County, Washington,,MOVEDOUT,381,210,2018,OOS
41051,41029,,Jackson County, Oregon,,MOVEDOUT,380,155,2015,IS
41051,53053,,Pierce County, Washington,,MOVEDOUT,379,145,2018,OOS
41051,25017,,Middlesex County, Massachusetts,,MOVEDIN,377,149,2015,OOS
41051,41009,,Columbia County, Oregon,,MOVEDIN,376,168,2010,IS
41051,15003,,Honolulu County, Hawaii,,MOVEDOUT,372,188,2010,OOS
41051,06001,,Alameda County, California,,MOVEDOUT,371,164,2015,OOS
41051,32003,,Clark County, Nevada,,MOVEDIN,368,155,2018,OOS
41051,41007,,Clatsop County, Oregon,,MOVEDOUT,367,267,2015,IS
41051,12011,,Broward County, Florida,,MOVEDOUT,365,405,2018,OOS
41051,41071,,Yamhill County, Oregon,,MOVEDOUT,363,157,2010,IS
41051,25017,,Middlesex County, Massachusetts,,MOVEDNET,360,148,2015,OOS
41051,,,,,Northern America,MOVEDIN,356,164,2015,OOC
41051,06073,,San Diego County, California,,MOVEDNET,351,279,2010,OOS
41051,16001,,Ada County, Idaho,,MOVEDIN,351,206,2010,OOS
41051,06075,,San Francisco County, California,,MOVEDNET,351,307,2015,OOS
41051,41017,,Deschutes County, Oregon,,MOVEDIN,350,130,2015,IS
41051,02020,,Anchorage Municipality, Alaska,,MOVEDIN,349,155,2015,OOS
41051,04013,,Maricopa County, Arizona,,MOVEDIN,348,142,2010,OOS
41051,53033,,King County, Washington,,MOVEDNET,345,582,2015,OOS
41051,53053,,Pierce County, Washington,,MOVEDIN,345,101,2018,OOS
41051,06085,,Santa Clara County, California,,MOVEDIN,342,161,2010,OOS
41051,,,,,South America,MOVEDIN,342,173,2015,OOC
41051,06075,,San Francisco County, California,,MOVEDNET,339,221,2010,OOS
41051,32003,,Clark County, Nevada,,MOVEDOUT,339,152,2015,OOS
41051,06067,,Sacramento County, California,,MOVEDIN,339,157,2018,OOS
41051,48453,,Travis County, Texas,,MOVEDIN,338,138,2018,OOS
41051,3606144919,Manhattan borough, New York County, New York,,MOVEDIN,337,184,2010,OOS
41051,36061,,New York County, New York,,MOVEDIN,337,184,2010,OOS
41051,32003,,Clark County, Nevada,,MOVEDIN,329,138,2015,OOS
41051,17031,,Cook County, Illinois,,MOVEDNET,328,193,2015,OOS
41051,48201,,Harris County, Texas,,MOVEDOUT,324,243,2015,OOS
41051,41043,,Linn County, Oregon,,MOVEDIN,324,223,2018,IS
41051,06073,,San Diego County, California,,MOVEDOUT,321,124,2010,OOS
41051,41029,,Jackson County, Oregon,,MOVEDOUT,318,152,2018,IS
41051,41041,,Lincoln County, Oregon,,MOVEDOUT,316,149,2015,IS
41051,41007,,Clatsop County, Oregon,,MOVEDOUT,315,138,2010,IS
41051,06065,,Riverside County, California,,MOVEDIN,314,179,2018,OOS
41051,06059,,Orange County, California,,MOVEDIN,313,117,2015,OOS
41051,06085,,Santa Clara County, California,,MOVEDOUT,313,162,2015,OOS
41051,49035,,Salt Lake County, Utah,,MOVEDOUT,313,165,2018,OOS
41051,08041,,El Paso County, Colorado,,MOVEDOUT,311,185,2018,OOS
41051,41043,,Linn County, Oregon,,MOVEDOUT,308,207,2015,IS
41051,41017,,Deschutes County, Oregon,,MOVEDOUT,307,122,2010,IS
41051,06001,,Alameda County, California,,MOVEDOUT,307,133,2018,OOS
41051,02020,,Anchorage Municipality, Alaska,,MOVEDOUT,304,199,2015,OOS
41051,41043,,Linn County, Oregon,,MOVEDNET,304,351,2015,IS
41051,3604710022,Brooklyn borough, Kings County, New York,,MOVEDOUT,301,134,2018,OOS
41051,36047,,Kings County, New York,,MOVEDOUT,301,134,2018,OOS
41051,15003,,Honolulu County, Hawaii,,MOVEDIN,298,164,2010,OOS
41051,48439,,Tarrant County, Texas,,MOVEDIN,296,316,2010,OOS
41051,41009,,Columbia County, Oregon,,MOVEDIN,294,128,2015,IS
41051,06001,,Alameda County, California,,MOVEDIN,291,143,2015,OOS
41051,08013,,Boulder County, Colorado,,MOVEDIN,291,308,2015,OOS
41051,06065,,Riverside County, California,,MOVEDIN,284,153,2015,OOS
41051,06067,,Sacramento County, California,,MOVEDIN,284,149,2015,OOS
41051,06085,,Santa Clara County, California,,MOVEDOUT,283,170,2018,OOS
41051,04019,,Pima County, Arizona,,MOVEDIN,279,144,2015,OOS
41051,53067,,Thurston County, Washington,,MOVEDIN,279,161,2018,OOS
41051,41019,,Douglas County, Oregon,,MOVEDOUT,277,224,2010,IS
41051,15003,,Honolulu County, Hawaii,,MOVEDIN,277,120,2015,OOS
41051,25017,,Middlesex County, Massachusetts,,MOVEDIN,276,187,2010,OOS
41051,3604710022,Brooklyn borough, Kings County, New York,,MOVEDIN,276,145,2015,OOS
41051,36047,,Kings County, New York,,MOVEDIN,276,145,2015,OOS
41051,,,,,South America,MOVEDIN,274,176,2010,OOC
41051,49035,,Salt Lake County, Utah,,MOVEDIN,273,136,2010,OOS
41051,41001,,Baker County, Oregon,,MOVEDIN,273,163,2018,IS
41051,04019,,Pima County, Arizona,,MOVEDOUT,272,173,2018,OOS
41051,15003,,Honolulu County, Hawaii,,MOVEDOUT,271,157,2015,OOS
41051,41065,,Wasco County, Oregon,,MOVEDIN,271,157,2015,IS
41051,06013,,Contra Costa County, California,,MOVEDOUT,270,139,2018,OOS
41051,48201,,Harris County, Texas,,MOVEDOUT,269,269,2018,OOS
41051,08031,,Denver County, Colorado,,MOVEDOUT,268,161,2010,OOS
41051,48439,,Tarrant County, Texas,,MOVEDOUT,267,177,2010,OOS
41051,17031,,Cook County, Illinois,,MOVEDOUT,267,129,2018,OOS
41051,25017,,Middlesex County, Massachusetts,,MOVEDIN,267,129,2018,OOS
41051,41059,,Umatilla County, Oregon,,MOVEDOUT,266,105,2018,IS
41051,48453,,Travis County, Texas,,MOVEDOUT,264,259,2015,OOS
41051,06059,,Orange County, California,,MOVEDIN,263,116,2010,OOS
41051,41001,,Baker County, Oregon,,MOVEDIN,263,111,2015,IS
41051,41029,,Jackson County, Oregon,,MOVEDNET,260,247,2015,IS
41051,15003,,Honolulu County, Hawaii,,MOVEDIN,260,103,2018,OOS
41051,3606144919,Manhattan borough, New York County, New York,,MOVEDIN,260,239,2018,OOS
41051,36061,,New York County, New York,,MOVEDIN,260,239,2018,OOS
41051,4210160000,Philadelphia city, Philadelphia County, Pennsylvania,,MOVEDOUT,260,152,2018,OOS
41051,42101,,Philadelphia County, Pennsylvania,,MOVEDOUT,260,152,2018,OOS
41051,06075,,San Francisco County, California,,MOVEDOUT,259,126,2010,OOS
41051,3604710022,Brooklyn borough, Kings County, New York,,MOVEDOUT,259,224,2010,OOS
41051,36047,,Kings County, New York,,MOVEDOUT,259,224,2010,OOS
41051,53067,,Thurston County, Washington,,MOVEDIN,258,137,2010,OOS
41051,39049,,Franklin County, Ohio,,MOVEDIN,258,210,2015,OOS
41051,41059,,Umatilla County, Oregon,,MOVEDIN,258,145,2015,IS
41051,32003,,Clark County, Nevada,,MOVEDIN,257,179,2010,OOS
41051,53063,,Spokane County, Washington,,MOVEDIN,257,118,2010,OOS
41051,35001,,Bernalillo County, New Mexico,,MOVEDOUT,257,139,2015,OOS
41051,41065,,Wasco County, Oregon,,MOVEDIN,255,185,2018,IS
41051,06081,,San Mateo County, California,,MOVEDIN,253,108,2018,OOS
41051,41027,,Hood River County, Oregon,,MOVEDNET,252,260,2010,IS
41051,53015,,Cowlitz County, Washington,,MOVEDOUT,252,134,2010,OOS
41051,3604710022,Brooklyn borough, Kings County, New York,,MOVEDOUT,252,161,2015,OOS
41051,36047,,Kings County, New York,,MOVEDOUT,252,161,2015,OOS
41051,17031,,Cook County, Illinois,,MOVEDNET,252,250,2018,OOS
41051,18003,,Allen County, Indiana,,MOVEDOUT,251,282,2018,OOS
41051,06013,,Contra Costa County, California,,MOVEDIN,250,130,2010,OOS
41051,53063,,Spokane County, Washington,,MOVEDOUT,248,131,2010,OOS
41051,16027,,Canyon County, Idaho,,MOVEDOUT,248,204,2018,OOS
41051,41035,,Klamath County, Oregon,,MOVEDIN,246,161,2018,IS
41051,41053,,Polk County, Oregon,,MOVEDIN,246,164,2018,IS
41051,41019,,Douglas County, Oregon,,MOVEDOUT,245,155,2015,IS
41051,41043,,Linn County, Oregon,,MOVEDOUT,245,188,2018,IS
41051,32031,,Washoe County, Nevada,,MOVEDIN,244,188,2015,OOS
41051,,,,,Northern America,MOVEDIN,243,111,2010,OOC
41051,41059,,Umatilla County, Oregon,,MOVEDIN,241,97,2010,IS
41051,08031,,Denver County, Colorado,,MOVEDIN,240,148,2015,OOS
41051,48453,,Travis County, Texas,,MOVEDOUT,240,179,2018,OOS
41051,49035,,Salt Lake County, Utah,,MOVEDOUT,239,179,2010,OOS
41051,39049,,Franklin County, Ohio,,MOVEDNET,239,211,2015,OOS
41051,53061,,Snohomish County, Washington,,MOVEDNET,239,206,2018,OOS
41051,02020,,Anchorage Municipality, Alaska,,MOVEDOUT,237,175,2010,OOS
41051,41053,,Polk County, Oregon,,MOVEDIN,235,110,2010,IS
41051,53015,,Cowlitz County, Washington,,MOVEDIN,234,130,2010,OOS
41051,06081,,San Mateo County, California,,MOVEDNET,234,108,2018,OOS
41051,04019,,Pima County, Arizona,,MOVEDIN,233,157,2018,OOS
41051,06059,,Orange County, California,,MOVEDIN,230,92,2018,OOS
41051,41059,,Umatilla County, Oregon,,MOVEDOUT,229,98,2010,IS
41051,15009,,Maui County, Hawaii,,MOVEDOUT,228,187,2010,OOS
41051,49035,,Salt Lake County, Utah,,MOVEDOUT,228,107,2015,OOS
41051,06019,,Fresno County, California,,MOVEDIN,228,178,2018,OOS
41051,3606144919,Manhattan borough, New York County, New York,,MOVEDOUT,227,146,2010,OOS
41051,36061,,New York County, New York,,MOVEDOUT,227,146,2010,OOS
41051,41019,,Douglas County, Oregon,,MOVEDIN,226,109,2010,IS
41051,02020,,Anchorage Municipality, Alaska,,MOVEDIN,226,137,2018,OOS
41051,53053,,Pierce County, Washington,,MOVEDIN,225,86,2010,OOS
41051,3606144919,Manhattan borough, New York County, New York,,MOVEDOUT,225,156,2018,OOS
41051,36061,,New York County, New York,,MOVEDOUT,225,156,2018,OOS
41051,41045,,Malheur County, Oregon,,MOVEDOUT,225,88,2018,IS
41051,06013,,Contra Costa County, California,,MOVEDNET,224,139,2010,OOS
41051,41029,,Jackson County, Oregon,,MOVEDNET,224,235,2018,IS
41051,53063,,Spokane County, Washington,,MOVEDOUT,224,155,2018,OOS
41051,41035,,Klamath County, Oregon,,MOVEDIN,223,130,2010,IS
41051,06071,,San Bernardino County, California,,MOVEDIN,222,161,2010,OOS
41051,06083,,Santa Barbara County, California,,MOVEDOUT,222,126,2015,OOS
41051,41019,,Douglas County, Oregon,,MOVEDIN,222,109,2015,IS
41051,53067,,Thurston County, Washington,,MOVEDIN,222,124,2015,OOS
41051,12095,,Orange County, Florida,,MOVEDOUT,222,246,2018,OOS
41051,16001,,Ada County, Idaho,,MOVEDIN,221,121,2015,OOS
41051,25017,,Middlesex County, Massachusetts,,MOVEDNET,221,132,2018,OOS
41051,3604710022,Brooklyn borough, Kings County, New York,,MOVEDIN,219,139,2010,OOS
41051,36047,,Kings County, New York,,MOVEDIN,219,139,2010,OOS
41051,41053,,Polk County, Oregon,,MOVEDIN,219,105,2015,IS
41051,41019,,Douglas County, Oregon,,MOVEDOUT,219,135,2018,IS
41051,53061,,Snohomish County, Washington,,MOVEDOUT,218,130,2015,OOS
41051,53053,,Pierce County, Washington,,MOVEDIN,217,85,2015,OOS
41051,41041,,Lincoln County, Oregon,,MOVEDIN,217,135,2018,IS
41051,48113,,Dallas County, Texas,,MOVEDIN,216,194,2015,OOS
41051,35001,,Bernalillo County, New Mexico,,MOVEDOUT,216,114,2018,OOS
41051,41057,,Tillamook County, Oregon,,MOVEDOUT,216,86,2018,IS
41051,04019,,Pima County, Arizona,,MOVEDOUT,215,162,2010,OOS
41051,41017,,Deschutes County, Oregon,,MOVEDNET,215,200,2010,IS
41051,41001,,Baker County, Oregon,,MOVEDNET,215,121,2015,IS
41051,41065,,Wasco County, Oregon,,MOVEDIN,214,122,2010,IS
41051,48201,,Harris County, Texas,,MOVEDOUT,212,145,2010,OOS
41051,16027,,Canyon County, Idaho,,MOVEDOUT,212,216,2015,OOS
41051,32031,,Washoe County, Nevada,,MOVEDNET,211,191,2015,OOS
41051,41027,,Hood River County, Oregon,,MOVEDIN,211,147,2018,IS
41051,16001,,Ada County, Idaho,,MOVEDOUT,210,113,2015,OOS
41051,08013,,Boulder County, Colorado,,MOVEDOUT,210,125,2018,OOS
41051,06023,,Humboldt County, California,,MOVEDIN,209,141,2010,OOS
41051,08013,,Boulder County, Colorado,,MOVEDNET,207,322,2015,OOS
41051,41071,,Yamhill County, Oregon,,MOVEDNET,206,354,2010,IS
41051,53029,,Island County, Washington,,MOVEDIN,206,146,2015,OOS
41051,53029,,Island County, Washington,,MOVEDNET,206,146,2015,OOS
41051,41047,,Marion County, Oregon,,MOVEDNET,205,653,2010,IS
41051,06085,,Santa Clara County, California,,MOVEDNET,204,184,2010,OOS
41051,06023,,Humboldt County, California,,MOVEDNET,203,141,2010,OOS
41051,11001,,District of Columbia, District of Columbia,,MOVEDOUT,201,111,2010,OOS
41051,,,,,Oceania and At Sea,MOVEDIN,201,94,2018,OOC
41051,06065,,Riverside County, California,,MOVEDOUT,200,107,2018,OOS
41051,41045,,Malheur County, Oregon,,MOVEDOUT,199,93,2010,IS
41051,53033,,King County, Washington,,MOVEDNET,199,560,2010,OOS
41051,16001,,Ada County, Idaho,,MOVEDNET,198,217,2010,OOS
41051,3606144919,Manhattan borough, New York County, New York,,MOVEDOUT,198,124,2015,OOS
41051,36061,,New York County, New York,,MOVEDOUT,198,124,2015,OOS
41051,41041,,Lincoln County, Oregon,,MOVEDOUT,197,107,2010,IS
41051,11001,,District of Columbia, District of Columbia,,MOVEDIN,197,121,2015,OOS
41051,12011,,Broward County, Florida,,MOVEDIN,196,201,2010,OOS
41051,06087,,Santa Cruz County, California,,MOVEDIN,196,133,2015,OOS
41051,53063,,Spokane County, Washington,,MOVEDIN,196,99,2015,OOS
41051,41019,,Douglas County, Oregon,,MOVEDIN,195,104,2018,IS
41051,53035,,Kitsap County, Washington,,MOVEDOUT,194,174,2010,OOS
41051,06071,,San Bernardino County, California,,MOVEDIN,194,105,2015,OOS
