movement,estimate,year,or_county,location,tag
MOVEDNET,13,2011,,California,OOS
MOVEDIN,73,2012,,California,OOS
MOVEDOUT,0,2012,,California,OOS
MOVEDNET,73,2012,,California,OOS
MOVEDIN,92,2013,,California,OOS
MOVEDOUT,21,2013,,California,OOS
MOVEDNET,71,2013,,California,OOS
MOVEDIN,92,2014,,California,OOS
MOVEDOUT,20,2014,,California,OOS
MOVEDNET,72,2014,,California,OOS
MOVEDIN,84,2015,,California,OOS
MOVEDOUT,30,2015,,California,OOS
MOVEDNET,54,2015,,California,OOS
MOVEDIN,79,2016,,California,OOS
MOVEDOUT,38,2016,,California,OOS
MOVEDNET,41,2016,,California,OOS
MOVEDIN,94,2017,,California,OOS
MOVEDOUT,38,2017,,California,OOS
MOVEDNET,56,2017,,California,OOS
MOVEDIN,78,2018,,California,OOS
MOVEDOUT,16,2018,,California,OOS
MOVEDNET,62,2018,,California,OOS
MOVEDIN,75,2019,,California,OOS
MOVEDOUT,10,2019,,California,OOS
MOVEDNET,65,2019,,California,OOS
MOVEDIN,64,2020,,California,OOS
MOVEDOUT,0,2020,,California,OOS
MOVEDNET,64,2020,,California,OOS
MOVEDIN,33,2011,,Colorado,OOS
MOVEDOUT,0,2011,,Colorado,OOS
MOVEDNET,33,2011,,Colorado,OOS
MOVEDIN,37,2012,,Colorado,OOS
MOVEDOUT,0,2012,,Colorado,OOS
MOVEDNET,37,2012,,Colorado,OOS
MOVEDIN,37,2013,,Colorado,OOS
MOVEDOUT,0,2013,,Colorado,OOS
MOVEDNET,37,2013,,Colorado,OOS
MOVEDIN,34,2014,,Colorado,OOS
MOVEDOUT,0,2014,,Colorado,OOS
MOVEDNET,34,2014,,Colorado,OOS
MOVEDIN,33,2015,,Colorado,OOS
MOVEDOUT,53,2015,,Colorado,OOS
MOVEDNET,-20,2015,,Colorado,OOS
MOVEDIN,0,2016,,Colorado,OOS
MOVEDOUT,43,2016,,Colorado,OOS
MOVEDNET,-43,2016,,Colorado,OOS
MOVEDIN,0,2017,,Colorado,OOS
MOVEDOUT,53,2017,,Colorado,OOS
MOVEDNET,-53,2017,,Colorado,OOS
MOVEDIN,0,2018,,Colorado,OOS
MOVEDOUT,59,2018,,Colorado,OOS
MOVEDNET,-59,2018,,Colorado,OOS
MOVEDIN,0,2019,,Colorado,OOS
MOVEDOUT,74,2019,,Colorado,OOS
MOVEDNET,-74,2019,,Colorado,OOS
MOVEDIN,5,2013,,Colorado,OOS
MOVEDOUT,0,2013,,Colorado,OOS
MOVEDNET,5,2013,,Colorado,OOS
MOVEDIN,5,2014,,Colorado,OOS
MOVEDOUT,0,2014,,Colorado,OOS
MOVEDNET,5,2014,,Colorado,OOS
MOVEDIN,5,2015,,Colorado,OOS
MOVEDOUT,0,2015,,Colorado,OOS
MOVEDNET,5,2015,,Colorado,OOS
MOVEDIN,5,2016,,Colorado,OOS
MOVEDOUT,0,2016,,Colorado,OOS
MOVEDNET,5,2016,,Colorado,OOS
MOVEDIN,6,2017,,Colorado,OOS
MOVEDOUT,0,2017,,Colorado,OOS
MOVEDNET,6,2017,,Colorado,OOS
MOVEDIN,50,2010,,Colorado,OOS
MOVEDOUT,106,2010,,Colorado,OOS
MOVEDNET,-56,2010,,Colorado,OOS
MOVEDIN,29,2011,,Colorado,OOS
MOVEDOUT,63,2011,,Colorado,OOS
MOVEDNET,-34,2011,,Colorado,OOS
MOVEDIN,32,2012,,Colorado,OOS
MOVEDOUT,75,2012,,Colorado,OOS
MOVEDNET,-43,2012,,Colorado,OOS
MOVEDIN,39,2013,,Colorado,OOS
MOVEDOUT,55,2013,,Colorado,OOS
MOVEDNET,-16,2013,,Colorado,OOS
MOVEDIN,66,2014,,Colorado,OOS
MOVEDOUT,36,2014,,Colorado,OOS
MOVEDNET,30,2014,,Colorado,OOS
MOVEDIN,49,2015,,Colorado,OOS
MOVEDOUT,37,2015,,Colorado,OOS
MOVEDNET,12,2015,,Colorado,OOS
MOVEDIN,52,2016,,Colorado,OOS
MOVEDOUT,43,2016,,Colorado,OOS
MOVEDNET,9,2016,,Colorado,OOS
MOVEDIN,48,2017,,Colorado,OOS
MOVEDOUT,8,2017,,Colorado,OOS
MOVEDNET,40,2017,,Colorado,OOS
MOVEDIN,34,2018,,Colorado,OOS
MOVEDOUT,26,2018,,Colorado,OOS
MOVEDNET,8,2018,,Colorado,OOS
MOVEDIN,67,2019,,Colorado,OOS
MOVEDOUT,45,2019,,Colorado,OOS
MOVEDNET,22,2019,,Colorado,OOS
MOVEDIN,41,2020,,Colorado,OOS
MOVEDOUT,62,2020,,Colorado,OOS
MOVEDNET,-21,2020,,Colorado,OOS
MOVEDIN,140,2010,,Colorado,OOS
MOVEDOUT,139,2010,,Colorado,OOS
MOVEDNET,1,2010,,Colorado,OOS
MOVEDIN,164,2011,,Colorado,OOS
MOVEDOUT,112,2011,,Colorado,OOS
MOVEDNET,52,2011,,Colorado,OOS
MOVEDIN,153,2012,,Colorado,OOS
MOVEDOUT,112,2012,,Colorado,OOS
MOVEDNET,41,2012,,Colorado,OOS
MOVEDIN,288,2013,,Colorado,OOS
MOVEDOUT,121,2013,,Colorado,OOS
MOVEDNET,167,2013,,Colorado,OOS
MOVEDIN,298,2014,,Colorado,OOS
MOVEDOUT,98,2014,,Colorado,OOS
MOVEDNET,200,2014,,Colorado,OOS
MOVEDIN,291,2015,,Colorado,OOS
MOVEDOUT,84,2015,,Colorado,OOS
MOVEDNET,207,2015,,Colorado,OOS
MOVEDIN,297,2016,,Colorado,OOS
MOVEDOUT,100,2016,,Colorado,OOS
MOVEDNET,197,2016,,Colorado,OOS
MOVEDIN,156,2017,,Colorado,OOS
MOVEDOUT,181,2017,,Colorado,OOS
MOVEDNET,-25,2017,,Colorado,OOS
MOVEDIN,190,2018,,Colorado,OOS
MOVEDOUT,210,2018,,Colorado,OOS
MOVEDNET,-20,2018,,Colorado,OOS
MOVEDIN,154,2019,,Colorado,OOS
MOVEDOUT,266,2019,,Colorado,OOS
MOVEDNET,-112,2019,,Colorado,OOS
MOVEDIN,166,2020,,Colorado,OOS
MOVEDOUT,171,2020,,Colorado,OOS
MOVEDNET,-5,2020,,Colorado,OOS
MOVEDIN,17,2014,,Colorado,OOS
MOVEDOUT,0,2014,,Colorado,OOS
MOVEDNET,17,2014,,Colorado,OOS
MOVEDIN,14,2015,,Colorado,OOS
MOVEDOUT,0,2015,,Colorado,OOS
MOVEDNET,14,2015,,Colorado,OOS
MOVEDIN,15,2016,,Colorado,OOS
MOVEDOUT,0,2016,,Colorado,OOS
MOVEDNET,15,2016,,Colorado,OOS
MOVEDIN,14,2017,,Colorado,OOS
MOVEDOUT,0,2017,,Colorado,OOS
MOVEDNET,14,2017,,Colorado,OOS
MOVEDIN,15,2018,,Colorado,OOS
MOVEDOUT,0,2018,,Colorado,OOS
MOVEDNET,15,2018,,Colorado,OOS
MOVEDIN,17,2010,,Colorado,OOS
MOVEDOUT,0,2010,,Colorado,OOS
MOVEDNET,17,2010,,Colorado,OOS
MOVEDIN,15,2011,,Colorado,OOS
MOVEDOUT,0,2011,,Colorado,OOS
MOVEDNET,15,2011,,Colorado,OOS
MOVEDIN,18,2016,,Colorado,OOS
MOVEDOUT,0,2016,,Colorado,OOS
MOVEDNET,18,2016,,Colorado,OOS
MOVEDIN,15,2017,,Colorado,OOS
MOVEDOUT,0,2017,,Colorado,OOS
MOVEDNET,15,2017,,Colorado,OOS
MOVEDIN,16,2018,,Colorado,OOS
MOVEDOUT,0,2018,,Colorado,OOS
MOVEDNET,16,2018,,Colorado,OOS
MOVEDIN,17,2019,,Colorado,OOS
MOVEDOUT,0,2019,,Colorado,OOS
MOVEDNET,17,2019,,Colorado,OOS
MOVEDIN,16,2020,,Colorado,OOS
MOVEDOUT,0,2020,,Colorado,OOS
MOVEDNET,16,2020,,Colorado,OOS
MOVEDIN,98,2010,,Colorado,OOS
MOVEDOUT,268,2010,,Colorado,OOS
MOVEDNET,-170,2010,,Colorado,OOS
MOVEDIN,67,2011,,Colorado,OOS
MOVEDOUT,300,2011,,Colorado,OOS
MOVEDNET,-233,2011,,Colorado,OOS
MOVEDIN,34,2012,,Colorado,OOS
MOVEDOUT,316,2012,,Colorado,OOS
MOVEDNET,-282,2012,,Colorado,OOS
MOVEDIN,175,2013,,Colorado,OOS
MOVEDOUT,300,2013,,Colorado,OOS
MOVEDNET,-125,2013,,Colorado,OOS
MOVEDIN,232,2014,,Colorado,OOS
MOVEDOUT,196,2014,,Colorado,OOS
MOVEDNET,36,2014,,Colorado,OOS
MOVEDIN,240,2015,,Colorado,OOS
MOVEDOUT,157,2015,,Colorado,OOS
MOVEDNET,83,2015,,Colorado,OOS
MOVEDIN,286,2016,,Colorado,OOS
MOVEDOUT,162,2016,,Colorado,OOS
MOVEDNET,124,2016,,Colorado,OOS
MOVEDIN,306,2017,,Colorado,OOS
MOVEDOUT,165,2017,,Colorado,OOS
MOVEDNET,141,2017,,Colorado,OOS
MOVEDIN,133,2018,,Colorado,OOS
MOVEDOUT,121,2018,,Colorado,OOS
MOVEDNET,12,2018,,Colorado,OOS
MOVEDIN,78,2019,,Colorado,OOS
MOVEDOUT,94,2019,,Colorado,OOS
MOVEDNET,-16,2019,,Colorado,OOS
MOVEDIN,148,2020,,Colorado,OOS
MOVEDOUT,165,2020,,Colorado,OOS
MOVEDNET,-17,2020,,Colorado,OOS
MOVEDIN,28,2010,,Colorado,OOS
MOVEDOUT,11,2010,,Colorado,OOS
MOVEDNET,17,2010,,Colorado,OOS
MOVEDIN,53,2011,,Colorado,OOS
MOVEDOUT,14,2011,,Colorado,OOS
MOVEDNET,39,2011,,Colorado,OOS
MOVEDIN,54,2012,,Colorado,OOS
MOVEDOUT,18,2012,,Colorado,OOS
MOVEDNET,36,2012,,Colorado,OOS
MOVEDIN,53,2013,,Colorado,OOS
MOVEDOUT,17,2013,,Colorado,OOS
MOVEDNET,36,2013,,Colorado,OOS
MOVEDIN,21,2014,,Colorado,OOS
MOVEDOUT,19,2014,,Colorado,OOS
MOVEDNET,2,2014,,Colorado,OOS
MOVEDIN,21,2015,,Colorado,OOS
MOVEDOUT,0,2015,,Colorado,OOS
MOVEDNET,21,2015,,Colorado,OOS
MOVEDIN,0,2019,,Colorado,OOS
MOVEDOUT,56,2019,,Colorado,OOS
MOVEDNET,-56,2019,,Colorado,OOS
MOVEDIN,0,2020,,Colorado,OOS
MOVEDOUT,48,2020,,Colorado,OOS
MOVEDNET,-48,2020,,Colorado,OOS
MOVEDIN,16,2011,,Colorado,OOS
MOVEDOUT,0,2011,,Colorado,OOS
MOVEDNET,16,2011,,Colorado,OOS
MOVEDIN,22,2012,,Colorado,OOS
MOVEDOUT,0,2012,,Colorado,OOS
MOVEDNET,22,2012,,Colorado,OOS
MOVEDIN,21,2013,,Colorado,OOS
MOVEDOUT,0,2013,,Colorado,OOS
MOVEDNET,21,2013,,Colorado,OOS
MOVEDIN,18,2014,,Colorado,OOS
MOVEDOUT,0,2014,,Colorado,OOS
MOVEDNET,18,2014,,Colorado,OOS
MOVEDIN,16,2015,,Colorado,OOS
MOVEDOUT,0,2015,,Colorado,OOS
MOVEDNET,16,2015,,Colorado,OOS
MOVEDIN,22,2016,,Colorado,OOS
MOVEDOUT,0,2016,,Colorado,OOS
MOVEDNET,22,2016,,Colorado,OOS
MOVEDIN,21,2017,,Colorado,OOS
MOVEDOUT,0,2017,,Colorado,OOS
MOVEDNET,21,2017,,Colorado,OOS
MOVEDIN,22,2018,,Colorado,OOS
MOVEDOUT,0,2018,,Colorado,OOS
MOVEDNET,22,2018,,Colorado,OOS
MOVEDIN,24,2019,,Colorado,OOS
MOVEDOUT,0,2019,,Colorado,OOS
MOVEDNET,24,2019,,Colorado,OOS
MOVEDIN,31,2020,,Colorado,OOS
MOVEDOUT,0,2020,,Colorado,OOS
MOVEDNET,31,2020,,Colorado,OOS
MOVEDIN,111,2010,,Colorado,OOS
MOVEDOUT,173,2010,,Colorado,OOS
MOVEDNET,-62,2010,,Colorado,OOS
MOVEDIN,99,2011,,Colorado,OOS
MOVEDOUT,236,2011,,Colorado,OOS
MOVEDNET,-137,2011,,Colorado,OOS
MOVEDIN,98,2012,,Colorado,OOS
MOVEDOUT,173,2012,,Colorado,OOS
MOVEDNET,-75,2012,,Colorado,OOS
MOVEDIN,114,2013,,Colorado,OOS
MOVEDOUT,260,2013,,Colorado,OOS
MOVEDNET,-146,2013,,Colorado,OOS
MOVEDIN,108,2014,,Colorado,OOS
MOVEDOUT,186,2014,,Colorado,OOS
MOVEDNET,-78,2014,,Colorado,OOS
MOVEDIN,57,2015,,Colorado,OOS
MOVEDOUT,183,2015,,Colorado,OOS
MOVEDNET,-126,2015,,Colorado,OOS
MOVEDIN,60,2016,,Colorado,OOS
MOVEDOUT,238,2016,,Colorado,OOS
MOVEDNET,-178,2016,,Colorado,OOS
MOVEDIN,67,2017,,Colorado,OOS
MOVEDOUT,265,2017,,Colorado,OOS
MOVEDNET,-198,2017,,Colorado,OOS
MOVEDIN,32,2018,,Colorado,OOS
MOVEDOUT,311,2018,,Colorado,OOS
MOVEDNET,-279,2018,,Colorado,OOS
MOVEDIN,22,2019,,Colorado,OOS
MOVEDOUT,341,2019,,Colorado,OOS
MOVEDNET,-319,2019,,Colorado,OOS
MOVEDIN,28,2020,,Colorado,OOS
MOVEDOUT,215,2020,,Colorado,OOS
MOVEDNET,-187,2020,,Colorado,OOS
MOVEDIN,0,2010,,Colorado,OOS
MOVEDOUT,49,2010,,Colorado,OOS
MOVEDNET,-49,2010,,Colorado,OOS
MOVEDIN,0,2011,,Colorado,OOS
MOVEDOUT,47,2011,,Colorado,OOS
MOVEDNET,-47,2011,,Colorado,OOS
MOVEDIN,0,2012,,Colorado,OOS
MOVEDOUT,32,2012,,Colorado,OOS
MOVEDNET,-32,2012,,Colorado,OOS
MOVEDIN,0,2013,,Colorado,OOS
MOVEDOUT,42,2013,,Colorado,OOS
MOVEDNET,-42,2013,,Colorado,OOS
MOVEDIN,0,2014,,Colorado,OOS
MOVEDOUT,42,2014,,Colorado,OOS
MOVEDNET,-42,2014,,Colorado,OOS
MOVEDIN,14,2010,,Colorado,OOS
MOVEDOUT,0,2010,,Colorado,OOS
MOVEDNET,14,2010,,Colorado,OOS
MOVEDIN,61,2011,,Colorado,OOS
MOVEDOUT,0,2011,,Colorado,OOS
MOVEDNET,61,2011,,Colorado,OOS
MOVEDIN,50,2012,,Colorado,OOS
MOVEDOUT,0,2012,,Colorado,OOS
MOVEDNET,50,2012,,Colorado,OOS
MOVEDIN,47,2013,,Colorado,OOS
MOVEDOUT,0,2013,,Colorado,OOS
MOVEDNET,47,2013,,Colorado,OOS
MOVEDIN,46,2014,,Colorado,OOS
MOVEDOUT,0,2014,,Colorado,OOS
MOVEDNET,46,2014,,Colorado,OOS
MOVEDIN,41,2015,,Colorado,OOS
MOVEDOUT,0,2015,,Colorado,OOS
MOVEDNET,41,2015,,Colorado,OOS
MOVEDIN,17,2010,,Colorado,OOS
MOVEDOUT,0,2010,,Colorado,OOS
MOVEDNET,17,2010,,Colorado,OOS
MOVEDIN,14,2011,,Colorado,OOS
MOVEDOUT,0,2011,,Colorado,OOS
MOVEDNET,14,2011,,Colorado,OOS
MOVEDIN,16,2012,,Colorado,OOS
MOVEDOUT,0,2012,,Colorado,OOS
MOVEDNET,16,2012,,Colorado,OOS
MOVEDIN,16,2013,,Colorado,OOS
MOVEDOUT,0,2013,,Colorado,OOS
MOVEDNET,16,2013,,Colorado,OOS
MOVEDIN,17,2014,,Colorado,OOS
MOVEDOUT,0,2014,,Colorado,OOS
MOVEDNET,17,2014,,Colorado,OOS
MOVEDIN,166,2010,,Colorado,OOS
MOVEDOUT,35,2010,,Colorado,OOS
MOVEDNET,131,2010,,Colorado,OOS
MOVEDIN,129,2011,,Colorado,OOS
MOVEDOUT,65,2011,,Colorado,OOS
MOVEDNET,64,2011,,Colorado,OOS
MOVEDIN,209,2012,,Colorado,OOS
MOVEDOUT,59,2012,,Colorado,OOS
MOVEDNET,150,2012,,Colorado,OOS
MOVEDIN,231,2013,,Colorado,OOS
MOVEDOUT,51,2013,,Colorado,OOS
MOVEDNET,180,2013,,Colorado,OOS
MOVEDIN,265,2014,,Colorado,OOS
MOVEDOUT,44,2014,,Colorado,OOS
MOVEDNET,221,2014,,Colorado,OOS
MOVEDIN,125,2015,,Colorado,OOS
MOVEDOUT,58,2015,,Colorado,OOS
MOVEDNET,67,2015,,Colorado,OOS
MOVEDIN,146,2016,,Colorado,OOS
MOVEDOUT,53,2016,,Colorado,OOS
MOVEDNET,93,2016,,Colorado,OOS
MOVEDIN,62,2017,,Colorado,OOS
MOVEDOUT,70,2017,,Colorado,OOS
MOVEDNET,-8,2017,,Colorado,OOS
MOVEDIN,16,2018,,Colorado,OOS
MOVEDOUT,77,2018,,Colorado,OOS
MOVEDNET,-61,2018,,Colorado,OOS
MOVEDIN,61,2019,,Colorado,OOS
MOVEDOUT,90,2019,,Colorado,OOS
MOVEDNET,-29,2019,,Colorado,OOS
MOVEDIN,84,2020,,Colorado,OOS
MOVEDOUT,48,2020,,Colorado,OOS
MOVEDNET,36,2020,,Colorado,OOS
MOVEDIN,12,2010,,Colorado,OOS
MOVEDOUT,40,2010,,Colorado,OOS
MOVEDNET,-28,2010,,Colorado,OOS
MOVEDIN,99,2011,,Colorado,OOS
MOVEDOUT,35,2011,,Colorado,OOS
MOVEDNET,64,2011,,Colorado,OOS
MOVEDIN,66,2012,,Colorado,OOS
MOVEDOUT,24,2012,,Colorado,OOS
MOVEDNET,42,2012,,Colorado,OOS
MOVEDIN,52,2013,,Colorado,OOS
MOVEDOUT,0,2013,,Colorado,OOS
MOVEDNET,52,2013,,Colorado,OOS
MOVEDIN,41,2014,,Colorado,OOS
MOVEDOUT,0,2014,,Colorado,OOS
MOVEDNET,41,2014,,Colorado,OOS
MOVEDIN,51,2015,,Colorado,OOS
MOVEDOUT,0,2015,,Colorado,OOS
MOVEDNET,51,2015,,Colorado,OOS
MOVEDIN,0,2016,,Colorado,OOS
MOVEDOUT,9,2016,,Colorado,OOS
MOVEDNET,-9,2016,,Colorado,OOS
MOVEDIN,0,2017,,Colorado,OOS
MOVEDOUT,10,2017,,Colorado,OOS
MOVEDNET,-10,2017,,Colorado,OOS
MOVEDIN,15,2018,,Colorado,OOS
MOVEDOUT,17,2018,,Colorado,OOS
MOVEDNET,-2,2018,,Colorado,OOS
MOVEDIN,13,2019,,Colorado,OOS
MOVEDOUT,22,2019,,Colorado,OOS
MOVEDNET,-9,2019,,Colorado,OOS
MOVEDIN,14,2020,,Colorado,OOS
MOVEDOUT,18,2020,,Colorado,OOS
MOVEDNET,-4,2020,,Colorado,OOS
MOVEDIN,0,2019,,Colorado,OOS
MOVEDOUT,35,2019,,Colorado,OOS
MOVEDNET,-35,2019,,Colorado,OOS
MOVEDIN,0,2020,,Colorado,OOS
MOVEDOUT,65,2020,,Colorado,OOS
MOVEDNET,-65,2020,,Colorado,OOS
MOVEDIN,67,2010,,Colorado,OOS
MOVEDOUT,10,2010,,Colorado,OOS
MOVEDNET,57,2010,,Colorado,OOS
MOVEDIN,68,2011,,Colorado,OOS
MOVEDOUT,8,2011,,Colorado,OOS
MOVEDNET,60,2011,,Colorado,OOS
MOVEDIN,64,2012,,Colorado,OOS
MOVEDOUT,18,2012,,Colorado,OOS
MOVEDNET,46,2012,,Colorado,OOS
MOVEDIN,96,2013,,Colorado,OOS
MOVEDOUT,19,2013,,Colorado,OOS
MOVEDNET,77,2013,,Colorado,OOS
MOVEDIN,65,2014,,Colorado,OOS
MOVEDOUT,13,2014,,Colorado,OOS
MOVEDNET,52,2014,,Colorado,OOS
MOVEDIN,71,2015,,Colorado,OOS
MOVEDOUT,16,2015,,Colorado,OOS
MOVEDNET,55,2015,,Colorado,OOS
MOVEDIN,112,2016,,Colorado,OOS
MOVEDOUT,18,2016,,Colorado,OOS
MOVEDNET,94,2016,,Colorado,OOS
MOVEDIN,127,2017,,Colorado,OOS
MOVEDOUT,7,2017,,Colorado,OOS
MOVEDNET,120,2017,,Colorado,OOS
MOVEDIN,108,2018,,Colorado,OOS
MOVEDOUT,19,2018,,Colorado,OOS
MOVEDNET,89,2018,,Colorado,OOS
MOVEDIN,110,2019,,Colorado,OOS
MOVEDOUT,14,2019,,Colorado,OOS
MOVEDNET,96,2019,,Colorado,OOS
MOVEDIN,98,2020,,Colorado,OOS
MOVEDOUT,13,2020,,Colorado,OOS
MOVEDNET,85,2020,,Colorado,OOS
MOVEDIN,16,2016,,Colorado,OOS
MOVEDOUT,0,2016,,Colorado,OOS
MOVEDNET,16,2016,,Colorado,OOS
MOVEDIN,14,2017,,Colorado,OOS
MOVEDOUT,0,2017,,Colorado,OOS
MOVEDNET,14,2017,,Colorado,OOS
MOVEDIN,17,2018,,Colorado,OOS
MOVEDOUT,0,2018,,Colorado,OOS
MOVEDNET,17,2018,,Colorado,OOS
MOVEDIN,16,2019,,Colorado,OOS
MOVEDOUT,0,2019,,Colorado,OOS
MOVEDNET,16,2019,,Colorado,OOS
MOVEDIN,11,2020,,Colorado,OOS
MOVEDOUT,0,2020,,Colorado,OOS
MOVEDNET,11,2020,,Colorado,OOS
MOVEDIN,9,2010,,Colorado,OOS
MOVEDOUT,3,2010,,Colorado,OOS
MOVEDNET,6,2010,,Colorado,OOS
MOVEDIN,9,2011,,Colorado,OOS
MOVEDOUT,15,2011,,Colorado,OOS
MOVEDNET,-6,2011,,Colorado,OOS
MOVEDIN,11,2012,,Colorado,OOS
MOVEDOUT,32,2012,,Colorado,OOS
MOVEDNET,-21,2012,,Colorado,OOS
MOVEDIN,10,2013,,Colorado,OOS
MOVEDOUT,29,2013,,Colorado,OOS
MOVEDNET,-19,2013,,Colorado,OOS
MOVEDIN,15,2014,,Colorado,OOS
MOVEDOUT,0,2014,,Colorado,OOS
MOVEDNET,15,2014,,Colorado,OOS
MOVEDIN,24,2015,,Colorado,OOS
MOVEDOUT,0,2015,,Colorado,OOS
MOVEDNET,24,2015,,Colorado,OOS
MOVEDIN,25,2016,,Colorado,OOS
MOVEDOUT,0,2016,,Colorado,OOS
MOVEDNET,25,2016,,Colorado,OOS
MOVEDIN,26,2017,,Colorado,OOS
MOVEDOUT,0,2017,,Colorado,OOS
MOVEDNET,26,2017,,Colorado,OOS
MOVEDIN,29,2018,,Colorado,OOS
MOVEDOUT,0,2018,,Colorado,OOS
MOVEDNET,29,2018,,Colorado,OOS
MOVEDIN,31,2019,,Colorado,OOS
MOVEDOUT,0,2019,,Colorado,OOS
MOVEDNET,31,2019,,Colorado,OOS
MOVEDIN,0,2010,,Colorado,OOS
MOVEDOUT,8,2010,,Colorado,OOS
MOVEDNET,-8,2010,,Colorado,OOS
MOVEDIN,0,2011,,Colorado,OOS
MOVEDOUT,12,2011,,Colorado,OOS
MOVEDNET,-12,2011,,Colorado,OOS
MOVEDIN,0,2012,,Colorado,OOS
MOVEDOUT,13,2012,,Colorado,OOS
MOVEDNET,-13,2012,,Colorado,OOS
MOVEDIN,0,2013,,Colorado,OOS
MOVEDOUT,11,2013,,Colorado,OOS
MOVEDNET,-11,2013,,Colorado,OOS
MOVEDIN,17,2014,,Colorado,OOS
MOVEDOUT,3,2014,,Colorado,OOS
MOVEDNET,14,2014,,Colorado,OOS
MOVEDIN,22,2015,,Colorado,OOS
MOVEDOUT,0,2015,,Colorado,OOS
MOVEDNET,22,2015,,Colorado,OOS
MOVEDIN,21,2016,,Colorado,OOS
MOVEDOUT,14,2016,,Colorado,OOS
MOVEDNET,7,2016,,Colorado,OOS
MOVEDIN,15,2017,,Colorado,OOS
MOVEDOUT,14,2017,,Colorado,OOS
MOVEDNET,1,2017,,Colorado,OOS
MOVEDIN,16,2018,,Colorado,OOS
MOVEDOUT,14,2018,,Colorado,OOS
MOVEDNET,2,2018,,Colorado,OOS
MOVEDIN,0,2019,,Colorado,OOS
MOVEDOUT,14,2019,,Colorado,OOS
MOVEDNET,-14,2019,,Colorado,OOS
MOVEDIN,0,2020,,Colorado,OOS
MOVEDOUT,15,2020,,Colorado,OOS
MOVEDNET,-15,2020,,Colorado,OOS
MOVEDIN,6,2017,,Colorado,OOS
MOVEDOUT,0,2017,,Colorado,OOS
MOVEDNET,6,2017,,Colorado,OOS
MOVEDIN,5,2018,,Colorado,OOS
MOVEDOUT,0,2018,,Colorado,OOS
MOVEDNET,5,2018,,Colorado,OOS
MOVEDIN,5,2019,,Colorado,OOS
MOVEDOUT,0,2019,,Colorado,OOS
MOVEDNET,5,2019,,Colorado,OOS
MOVEDIN,5,2020,,Colorado,OOS
MOVEDOUT,0,2020,,Colorado,OOS
MOVEDNET,5,2020,,Colorado,OOS
MOVEDIN,9,2010,,Colorado,OOS
MOVEDOUT,0,2010,,Colorado,OOS
MOVEDNET,9,2010,,Colorado,OOS
MOVEDIN,2,2011,,Colorado,OOS
MOVEDOUT,0,2011,,Colorado,OOS
MOVEDNET,2,2011,,Colorado,OOS
MOVEDIN,0,2017,,Colorado,OOS
MOVEDOUT,9,2017,,Colorado,OOS
MOVEDNET,-9,2017,,Colorado,OOS
MOVEDIN,0,2018,,Colorado,OOS
MOVEDOUT,11,2018,,Colorado,OOS
MOVEDNET,-11,2018,,Colorado,OOS
MOVEDIN,0,2019,,Colorado,OOS
MOVEDOUT,15,2019,,Colorado,OOS
MOVEDNET,-15,2019,,Colorado,OOS
MOVEDIN,0,2020,,Colorado,OOS
MOVEDOUT,7,2020,,Colorado,OOS
MOVEDNET,-7,2020,,Colorado,OOS
MOVEDIN,53,2014,,Colorado,OOS
MOVEDOUT,0,2014,,Colorado,OOS
MOVEDNET,53,2014,,Colorado,OOS
MOVEDIN,62,2015,,Colorado,OOS
MOVEDOUT,0,2015,,Colorado,OOS
MOVEDNET,62,2015,,Colorado,OOS
MOVEDIN,60,2016,,Colorado,OOS
MOVEDOUT,0,2016,,Colorado,OOS
MOVEDNET,60,2016,,Colorado,OOS
MOVEDIN,49,2017,,Colorado,OOS
MOVEDOUT,0,2017,,Colorado,OOS
MOVEDNET,49,2017,,Colorado,OOS
MOVEDIN,54,2018,,Colorado,OOS
MOVEDOUT,0,2018,,Colorado,OOS
MOVEDNET,54,2018,,Colorado,OOS
MOVEDIN,0,2010,,Colorado,OOS
MOVEDOUT,34,2010,,Colorado,OOS
MOVEDNET,-34,2010,,Colorado,OOS
MOVEDIN,0,2011,,Colorado,OOS
MOVEDOUT,3,2011,,Colorado,OOS
MOVEDNET,-3,2011,,Colorado,OOS
MOVEDIN,0,2012,,Colorado,OOS
MOVEDOUT,3,2012,,Colorado,OOS
MOVEDNET,-3,2012,,Colorado,OOS
MOVEDIN,0,2013,,Colorado,OOS
MOVEDOUT,4,2013,,Colorado,OOS
MOVEDNET,-4,2013,,Colorado,OOS
MOVEDIN,0,2016,,Colorado,OOS
MOVEDOUT,48,2016,,Colorado,OOS
MOVEDNET,-48,2016,,Colorado,OOS
MOVEDIN,0,2017,,Colorado,OOS
MOVEDOUT,60,2017,,Colorado,OOS
MOVEDNET,-60,2017,,Colorado,OOS
MOVEDIN,0,2018,,Colorado,OOS
MOVEDOUT,38,2018,,Colorado,OOS
MOVEDNET,-38,2018,,Colorado,OOS
MOVEDIN,0,2019,,Colorado,OOS
MOVEDOUT,27,2019,,Colorado,OOS
MOVEDNET,-27,2019,,Colorado,OOS
MOVEDIN,0,2020,,Colorado,OOS
MOVEDOUT,18,2020,,Colorado,OOS
MOVEDNET,-18,2020,,Colorado,OOS
MOVEDIN,0,2016,,Colorado,OOS
MOVEDOUT,2,2016,,Colorado,OOS
MOVEDNET,-2,2016,,Colorado,OOS
MOVEDIN,0,2017,,Colorado,OOS
